city,timestamp,location_id,location,lat,lon,pm2_5,pm10,no2,o3,so2,co,temperature_c,humidity,pressure_hpa,wind_speed_ms,wind_direction,road_count,industrial_count,waste_count,farmland_count,pollution_source,dist_to_industry_km,dist_to_road_km,dist_to_dump_km,hour,day_of_week,day_of_year,month,is_weekend,is_rush_hour,is_dry_season,season
Vijayawada,2026-02-22 03:00:00,3409392,"Kanuru, Vijayawada - APPCB",16.489,80.694,0.1560693641618497,0.1435540069686411,0.0813278008298755,0.1149068322981366,0.028849902534113,0.220554272517321,0.3305084745762712,0.8505747126436782,0.8682170542635657,0.1260647359454855,0.1309192200557103,35199,7,11,277,Burning,4.848066027165628,5.574876424681751,3.685972569995114,3,6,53,2,1,0,1,1
Vijayawada,2026-02-22 04:00:00,3409392,"Kanuru, Vijayawada - APPCB",16.489,80.694,0.1531791907514451,0.140766550522648,0.0813278008298755,0.1149068322981366,0.0298245614035087,0.2332563510392609,0.3177966101694917,0.8735632183908046,0.8656330749354009,0.1925042589437819,0.1337047353760445,35199,7,11,277,Burning,4.848066027165628,5.574876424681751,3.685972569995114,4,6,53,2,1,0,1,1
Vijayawada,2026-02-22 09:00:00,3409392,"Kanuru, Vijayawada - APPCB",16.489,80.694,0.1572254335260115,0.1445993031358885,0.0813278008298755,0.1149068322981366,0.030214424951267,0.2471131639722864,0.5466101694915254,0.6091954022988506,0.899224806201552,0.1822827938671209,0.2785515320334262,35199,7,11,277,Burning,4.848066027165628,5.574876424681751,3.685972569995114,9,6,53,2,1,1,1,1
Vijayawada,2026-02-22 10:00:00,3409392,"Kanuru, Vijayawada - APPCB",16.489,80.694,0.1531791907514451,0.140766550522648,0.0813278008298755,0.1149068322981366,0.0311890838206627,0.2424942263279445,0.6483050847457626,0.4597701149425288,0.8940568475452189,0.2487223168654173,0.2701949860724233,35199,7,11,277,Burning,4.848066027165628,5.574876424681751,3.685972569995114,10,6,53,2,1,1,1,1
Vijayawada,2026-02-22 11:00:00,3409392,"Kanuru, Vijayawada - APPCB",16.489,80.694,0.1566473988439306,0.1442508710801393,0.0813278008298755,0.1149068322981366,0.0313840155945419,0.2228637413394919,0.7033898305084748,0.3908045977011494,0.8811369509043931,0.2402044293015331,0.2701949860724233,35199,7,11,277,Burning,4.848066027165628,5.574876424681751,3.685972569995114,11,6,53,2,1,0,1,1
Vijayawada,2026-02-22 12:00:00,3409392,"Kanuru, Vijayawada - APPCB",16.489,80.694,0.1583815028901734,0.1456445993031359,0.0813278008298755,0.1149068322981366,0.0306042884990253,0.2120092378752887,0.7881355932203392,0.2758620689655172,0.8630490956072361,0.2299829642248722,0.2479108635097492,35199,7,11,277,Burning,4.848066027165628,5.574876424681751,3.685972569995114,12,6,53,2,1,0,1,1
Vijayawada,2026-02-22 13:00:00,3409392,"Kanuru, Vijayawada - APPCB",16.489,80.694,0.1543352601156069,0.1418118466898955,0.0813278008298755,0.1149068322981366,0.0306042884990253,0.1993071593533487,0.8432203389830509,0.2068965517241379,0.8423772609819125,0.2742759795570698,0.2033426183844011,35199,7,11,277,Burning,4.848066027165628,5.574876424681751,3.685972569995114,13,6,53,2,1,0,1,1
Vijayawada,2026-02-22 14:00:00,3409392,"Kanuru, Vijayawada - APPCB",16.489,80.694,0.1526011560693641,0.1400696864111498,0.0813278008298755,0.1149068322981366,0.0298245614035087,0.202771362586605,0.864406779661017,0.1724137931034483,0.8268733850129202,0.3202725724020442,0.1671309192200556,35199,7,11,277,Burning,4.848066027165628,5.574876424681751,3.685972569995114,14,6,53,2,1,0,1,1
Vijayawada,2026-02-22 15:00:00,3409392,"Kanuru, Vijayawada - APPCB",16.489,80.694,0.1647398843930635,0.151567944250871,0.0813278008298755,0.1149068322981366,0.0280701754385964,0.1905311778290992,0.8262711864406781,0.1839080459770115,0.8217054263565906,0.4173764906303236,0.2144846796657381,35199,7,11,277,Burning,4.848066027165628,5.574876424681751,3.685972569995114,15,6,53,2,1,0,1,1
Vijayawada,2026-02-22 16:00:00,3409392,"Kanuru, Vijayawada - APPCB",16.489,80.694,0.1618497109826589,0.1491289198606271,0.0813278008298755,0.1149068322981366,0.0292397660818713,0.1794457274826789,0.7203389830508476,0.2873563218390805,0.8229974160206712,0.6218057921635434,0.3286908077994429,35199,7,11,277,Burning,4.848066027165628,5.574876424681751,3.685972569995114,16,6,53,2,1,0,1,1
